,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
19012,Unknown,India,2021-03-21 05:25:44,0,0,0.0
18975,Unknown,India,2021-03-22 05:25:43,0,0,0.0
9681,Unknown,India,2021-03-23 05:26:18,0,0,0.0
9718,Unknown,India,2021-03-24 05:25:40,0,0,0.0
479,Unknown,India,2021-03-25 05:27:00,0,0,0.0
442,Unknown,India,2021-03-26 05:26:55,0,0,0.0
16478,Unknown,India,2021-03-27 05:25:04,0,0,0.0
16515,Unknown,India,2021-03-28 05:28:10,0,0,0.0
10645,Unknown,India,2021-03-29 04:28:35,0,0,0.0
10682,Unknown,India,2021-03-30 04:26:23,0,0,0.0
13615,Unknown,India,2021-03-31 04:26:25,0,0,0.0
13541,Unknown,India,2021-04-01 04:27:05,0,0,0.0
15880,Unknown,India,2021-04-02 04:20:36,0,0,0.0
2675,Unknown,India,2021-04-03 04:20:44,0,0,0.0
2638,Unknown,India,2021-04-04 04:20:49,0,0,0.0
11613,Unknown,India,2021-04-05 04:20:35,0,0,0.0
11650,Unknown,India,2021-04-06 04:20:32,0,0,0.0
18194,Unknown,India,2021-04-07 04:20:53,0,0,0.0
18157,Unknown,India,2021-04-08 04:21:13,0,0,0.0
742,Unknown,India,2021-04-09 04:21:13,0,0,0.0
705,Unknown,India,2021-04-10 04:20:59,0,0,0.0
20758,Unknown,India,2021-04-11 04:20:56,0,0,0.0
20795,Unknown,India,2021-04-12 04:21:00,0,0,0.0
8754,Unknown,India,2021-04-13 04:20:37,0,0,0.0
8717,Unknown,India,2021-04-14 04:20:41,0,0,0.0
5123,Unknown,India,2021-04-15 04:20:54,0,0,0.0
5160,Unknown,India,2021-04-16 04:20:46,0,0,0.0
12688,Unknown,India,2021-04-17 04:20:40,0,0,0.0
12651,Unknown,India,2021-04-18 04:20:41,0,0,0.0
7193,Unknown,India,2021-04-19 04:20:57,0,0,0.0
7156,Unknown,India,2021-04-20 04:20:41,0,0,0.0
3304,Unknown,India,2021-04-21 04:21:14,0,0,0.0
3341,Unknown,India,2021-04-22 04:20:53,0,0,0.0
13876,Unknown,India,2021-04-23 04:20:52,0,0,0.0
13839,Unknown,India,2021-04-24 04:20:38,0,0,0.0
21684,Unknown,India,2021-04-25 04:20:32,0,0,0.0
21721,Unknown,India,2021-04-26 04:21:04,0,0,0.0
6307,Unknown,India,2021-04-27 04:20:52,0,0,0.0
6270,Unknown,India,2021-04-28 04:20:32,0,0,0.0
12059,Unknown,India,2021-04-29 04:20:55,0,0,0.0
12022,Unknown,India,2021-04-30 04:21:03,0,0,0.0
9422,Unknown,India,2021-05-01 04:20:47,0,0,0.0
1932,Unknown,India,2021-05-02 04:20:48,0,0,0.0
15137,Unknown,India,2021-05-03 04:20:39,0,0,0.0
15174,Unknown,India,2021-05-04 04:20:34,0,0,0.0
17857,Unknown,India,2021-05-05 04:20:43,0,0,0.0
