Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths,state_code
Andhra Pradesh,2020-06-17,6841,88,3509,3244.0,228684.0,2028.0,37
Mizoram,2020-06-17,121,0,1,120.0,502.0,0.0,15
Odisha,2020-06-17,4163,11,2974,1178.0,96771.0,471.0,21
Sikkim,2020-06-17,70,0,4,66.0,27790.0,355.0,11
Kerala,2020-06-17,2622,20,1236,1366.0,585085.0,2151.0,32
Tamil Nadu,2020-06-17,48019,528,26782,20709.0,2667613.0,35768.0,33
Uttar Pradesh,2020-06-17,14091,417,8610,5064.0,582046.0,8153.0,9
Rajasthan,2020-06-17,13216,308,9849,3059.0,940306.0,8644.0,8
Manipur,2020-06-17,500,0,159,341.0,28610.0,372.0,14
Chhattisgarh,2020-06-17,1781,9,1036,736.0,306437.0,3746.0,22
Goa,2020-06-17,629,0,85,544.0,115584.0,1612.0,30
Nagaland,2020-06-17,179,0,92,87.0,478.0,0.0,13
Bihar,2020-06-17,6778,41,4644,2093.0,245441.0,1359.0,10
Madhya Pradesh,2020-06-18,11244,482,8388,2374.0,36131.0,659.0,23
Sikkim,2020-06-18,70,0,4,66.0,713.0,1.0,11
Haryana,2020-06-18,8832,130,3952,4750.0,-560.0,-12.0,6
Meghalaya,2020-06-18,44,1,30,13.0,76723.0,1324.0,17
Jammu and Kashmir,2020-06-18,5406,65,2914,2427.0,336396.0,4465.0,1
Andhra Pradesh,2020-06-18,7071,90,3641,3340.0,237478.0,2113.0,37
Kerala,2020-06-18,2697,20,1326,1351.0,193409.0,722.0,32
Gujarat,2020-06-18,25093,1560,17430,6103.0,16727.0,485.0,24
Tripura,2020-06-18,1135,1,556,578.0,30810.0,361.0,16
Karnataka,2020-06-18,7734,102,4804,2828.0,2989099.0,38114.0,29
Odisha,2020-06-18,4338,11,3047,1280.0,1046617.0,8417.0,21
Telangana,2020-06-18,5675,192,3071,2412.0,624110.0,3522.0,36
Bihar,2020-06-18,6942,44,4926,1972.0,39138.0,234.0,10
West Bengal,2020-06-18,12300,506,6533,5261.0,86159.0,1594.0,19
Uttar Pradesh,2020-06-18,14598,435,8904,5259.0,530947.0,7353.0,9
Delhi,2020-06-18,47102,1904,17457,27741.0,267122.0,3950.0,7
Goa,2020-06-18,656,0,96,560.0,177789.0,3372.0,30
Chandigarh,2020-06-18,368,6,303,59.0,-23.0,-1.0,4
Rajasthan,2020-06-18,13542,313,10467,2762.0,940712.0,8641.0,8
Manipur,2020-06-18,552,0,192,360.0,125271.0,2003.0,14
Dadra and Nagar Haveli and Daman and Diu,2020-06-18,57,0,12,45.0,3414.0,2.0,26
Punjab,2020-06-18,3497,78,2538,881.0,599328.0,16495.0,3
Chhattisgarh,2020-06-18,1864,10,1180,674.0,1003935.0,13562.0,22
Ladakh,2020-06-18,687,1,92,594.0,8921.0,126.0,38
Andaman and Nicobar Islands,2020-06-18,44,0,33,11.0,1720.0,21.0,35
Nagaland,2020-06-18,193,0,103,90.0,3559.0,9.0,13
Mizoram,2020-06-18,121,0,1,120.0,15243.0,67.0,15
Maharashtra,2020-06-18,116752,5651,59166,51935.0,407761.0,12399.0,27
Unknown,2020-06-18,8703,0,0,8703.0,-8703.0,0.0,97
Arunachal Pradesh,2020-06-18,99,0,7,92.0,34381.0,165.0,12
Tamil Nadu,2020-06-18,50193,576,27624,21993.0,-2174.0,-48.0,33
Assam,2020-06-18,4605,8,2642,1955.0,615327.0,6145.0,18
Puducherry,2020-06-18,245,7,109,129.0,38728.0,640.0,34
Himachal Pradesh,2020-06-18,569,8,372,189.0,228584.0,3871.0,2
Uttarakhand,2020-06-18,2023,26,1254,743.0,7998.0,108.0,5
Jharkhand,2020-06-18,1895,10,1151,734.0,57145.0,522.0,20
Himachal Pradesh,2020-06-19,595,8,382,205.0,57701.0,986.0,2
Manipur,2020-06-19,606,0,199,407.0,125944.0,2012.0,14
Puducherry,2020-06-19,271,7,109,155.0,4852.0,73.0,34
Andaman and Nicobar Islands,2020-06-19,44,0,33,11.0,4597.0,61.0,35
Chhattisgarh,2020-06-19,1946,10,1228,708.0,1004175.0,13573.0,22
Dadra and Nagar Haveli and Daman and Diu,2020-06-19,58,0,13,45.0,3342.0,2.0,26
Andhra Pradesh,2020-06-19,7518,92,3789,3637.0,2028661.0,13960.0,37
Unknown,2020-06-19,8927,0,0,8927.0,-8927.0,0.0,97
Rajasthan,2020-06-19,13857,323,10742,2792.0,186638.0,1603.0,8
Karnataka,2020-06-19,7944,114,4983,2847.0,2969281.0,37697.0,29
Kerala,2020-06-19,2794,21,1415,1358.0,1086684.0,4360.0,32
Tripura,2020-06-19,1155,1,639,515.0,82442.0,804.0,16
Sikkim,2020-06-19,70,0,5,65.0,9808.0,167.0,11
Haryana,2020-06-19,9218,134,4556,4528.0,761939.0,9915.0,6
Chandigarh,2020-06-19,374,6,306,62.0,65104.0,814.0,4
Uttarakhand,2020-06-19,2102,26,1386,690.0,35037.0,434.0,5
